sample	tsne_1	tsne_2	group
versicolor_70	4.25694206260668	13.737610300517	versicolor
versicolor_71	11.7327186547522	3.4831162526505	versicolor
versicolor_72	6.35181793799849	13.4110670498788	versicolor
versicolor_73	11.4328882517179	1.68194247072154	versicolor
versicolor_74	10.3499175526473	6.72744191333635	versicolor
versicolor_75	11.5015016585	7.00331495168795	versicolor
versicolor_76	12.0767182818425	6.72546180420737	versicolor
versicolor_77	12.9720082201289	6.03331345846274	versicolor
versicolor_78	13.3724837817495	5.71797925025819	versicolor
versicolor_79	10.2293055862252	7.13477322176975	versicolor
versicolor_80	3.90848437755605	14.4856474543568	versicolor
versicolor_81	3.74601833105118	13.7913312945897	versicolor
versicolor_82	3.64953378063523	14.0701032945603	versicolor
versicolor_83	5.05789868511757	13.8994588949548	versicolor
versicolor_84	12.0963908425815	1.88225802766127	versicolor
versicolor_85	6.16146315955206	11.5576261953153	versicolor
versicolor_86	10.7629059869864	5.58826211346742	versicolor
versicolor_87	12.8426273979464	6.3295734439675	versicolor
versicolor_88	9.28301263710034	6.35725990068221	versicolor
versicolor_89	6.0118377810366	12.7769656076772	versicolor
versicolor_90	4.37904826708822	13.1212919878391	versicolor
versicolor_91	5.34572383751502	12.1390009022388	versicolor
versicolor_92	10.6117234290417	6.64230523904432	versicolor
versicolor_93	4.95056024087166	13.578922455061	versicolor
versicolor_94	2.99720394150756	14.4764708269379	versicolor
versicolor_95	5.31612475317351	12.654881825703	versicolor
versicolor_96	6.32760412218051	12.6593016043326	versicolor
versicolor_97	6.08893428109736	12.5198270160488	versicolor
versicolor_98	10.7620427096335	7.30711079570844	versicolor
versicolor_99	3.1403297355081	14.7876653945375	versicolor
versicolor_100	5.63216433775487	13.1424634202771	versicolor
virginica_101	13.3331669631671	-9.38781386952175	virginica
virginica_102	12.7499555203724	2.18998700749121	virginica
virginica_103	12.36253168196	-11.2702836541733	virginica
virginica_104	12.6081232535552	-6.42696570750004	virginica
virginica_105	12.7854507947304	-8.6056149891935	virginica
virginica_106	12.4661582848752	-12.6855369056007	virginica
virginica_107	5.08822042613867	11.5648870175436	virginica
virginica_108	11.9624619930859	-12.2596221729529	virginica
virginica_109	13.1965809404823	-6.86566127259325	virginica
virginica_110	12.7184755703896	-11.4600397531695	virginica
virginica_111	11.6242413536635	-7.10808077680995	virginica
virginica_112	12.226299024235	-5.95293082402642	virginica
virginica_113	11.9075331520223	-8.96582986815965	virginica
virginica_114	12.9456283097929	2.07824205304124	virginica
virginica_115	13.1844349774786	2.002454670322	virginica
virginica_116	12.2310002469072	-7.9849112431877	virginica
virginica_117	12.3781959160153	-6.67255613343801	virginica
virginica_118	12.0604358995207	-12.9738896175817	virginica
virginica_119	12.7935828033787	-12.8717072263927	virginica
virginica_120	12.1871361030562	1.31716789444302	virginica
virginica_121	12.2341485213515	-10.1421787023361	virginica
virginica_122	12.9821642618589	2.48476830507462	virginica
virginica_123	12.69720045932	-12.7407884084169	virginica
virginica_124	11.6003473739027	1.99952863599746	virginica
virginica_125	12.3231687679574	-9.71020018330161	virginica
virginica_126	12.1412968465124	-11.7699981111961	virginica
virginica_127	11.6187889546175	2.46882446151661	virginica
virginica_128	11.9012172262378	2.85964924250225	virginica
virginica_129	12.7836850569564	-7.28603666724016	virginica
virginica_130	11.9267148292892	-11.7660413147236	virginica
virginica_131	12.3258599325618	-12.144542464109	virginica
virginica_132	11.9909595465824	-12.8912368674961	virginica
virginica_133	12.8414550579254	-7.56238983248086	virginica
virginica_134	11.3382244645339	1.65094129138717	virginica
virginica_135	11.8342128031356	-0.0530260224138862	virginica
virginica_136	12.7910754678356	-12.2659870183775	virginica
virginica_137	13.2744733766487	-8.87702153524449	virginica
virginica_138	12.3400114248482	-6.65828656978455	virginica
virginica_139	11.9167325977653	3.1123119988505	virginica
virginica_140	11.6820200437101	-8.98990059628545	virginica
virginica_141	12.410720462873	-9.29503688331472	virginica
virginica_142	11.4028101928987	-8.32510326855712	virginica
virginica_143	12.4959595819889	-10.3502759494563	virginica
virginica_144	12.7969958936723	-9.73322889415249	virginica
virginica_145	11.6182097376119	-8.11241018836423	virginica
virginica_146	11.7794191538459	1.31932235226919	virginica
virginica_147	11.7981181613251	-6.97233416930236	virginica
virginica_148	13.3333782399371	-8.40780296561144	virginica
virginica_149	12.3385191978604	2.61426115223272	virginica
